year,avg_temp,7-year MA(Global),year,city,country,avg_temp,7-year MA(Riyadh)
1750,8.72,,1843,Riyadh,Saudi Arabia,24.74,
1751,7.98,,1844,Riyadh,Saudi Arabia,15.45,
1752,5.78,,1845,Riyadh,Saudi Arabia,20.82,
1753,8.39,,1846,Riyadh,Saudi Arabia,25.21,
1754,8.47,,1847,Riyadh,Saudi Arabia,25.22,
1755,8.36,,1848,Riyadh,Saudi Arabia,24.56,
1756,8.85,8.08,1849,Riyadh,Saudi Arabia,24.8,22.97
1757,9.02,8.12,1850,Riyadh,Saudi Arabia,24.34,22.92
1758,6.74,7.94,1851,Riyadh,Saudi Arabia,25.03,24.28
1759,7.99,8.26,1852,Riyadh,Saudi Arabia,24.85,24.86
1760,7.19,8.09,1853,Riyadh,Saudi Arabia,24.93,24.82
1761,8.77,8.13,1854,Riyadh,Saudi Arabia,24.72,24.75
1762,8.61,8.17,1855,Riyadh,Saudi Arabia,24.92,24.8
1763,7.5,7.97,1856,Riyadh,Saudi Arabia,24.57,24.77
1764,8.4,7.89,1857,Riyadh,Saudi Arabia,24.26,24.75
1765,8.25,8.1,1858,Riyadh,Saudi Arabia,25.01,24.75
1766,8.41,8.16,1859,Riyadh,Saudi Arabia,24.95,24.77
1767,8.22,8.31,1860,Riyadh,Saudi Arabia,24.94,24.77
1768,6.78,8.02,1861,Riyadh,Saudi Arabia,24.13,24.68
1769,7.69,7.89,1862,Riyadh,Saudi Arabia,23.77,24.52
1770,7.69,7.92,1863,Riyadh,Saudi Arabia,24.28,24.48
1771,7.85,7.84,1864,Riyadh,Saudi Arabia,25.03,24.59
1772,8.19,7.83,1865,Riyadh,Saudi Arabia,25.23,24.62
1773,8.22,7.81,1866,Riyadh,Saudi Arabia,24.92,24.61
1774,8.77,7.88,1867,Riyadh,Saudi Arabia,25.22,24.65
1775,9.18,8.23,1868,Riyadh,Saudi Arabia,25,24.78
1776,8.3,8.31,1869,Riyadh,Saudi Arabia,25.3,25
1777,8.26,8.4,1870,Riyadh,Saudi Arabia,25.02,25.1
1778,8.54,8.49,1871,Riyadh,Saudi Arabia,24.73,25.06
1779,8.98,8.61,1872,Riyadh,Saudi Arabia,24.87,25.01
1780,9.43,8.78,1873,Riyadh,Saudi Arabia,25.24,25.05
1781,8.1,8.68,1874,Riyadh,Saudi Arabia,24.98,25.02
1782,7.9,8.5,1875,Riyadh,Saudi Arabia,24.43,24.94
1783,7.68,8.41,1876,Riyadh,Saudi Arabia,24.89,24.88
1784,7.86,8.36,1877,Riyadh,Saudi Arabia,25.47,24.94
1785,7.36,8.19,1878,Riyadh,Saudi Arabia,25.51,25.06
1786,8.26,8.08,1879,Riyadh,Saudi Arabia,25.24,25.11
1787,8.03,7.88,1880,Riyadh,Saudi Arabia,24.8,25.05
1788,8.45,7.93,1881,Riyadh,Saudi Arabia,25.63,25.14
1789,8.33,8,1882,Riyadh,Saudi Arabia,24.66,25.17
